"","property_id","oficinas","penthouse","carros","tenis","apartaestudio","jardin","garaje","servicio","locales","walk"
"1","00031aa3f3ddfd0408e3481a",0,0,0,0,0,0,1,0,0,0
"2","0004d06d2778d52349a2f6e7",0,0,0,0,0,0,0,0,0,0
"3","0004da0049944c4e35b57fe9",0,0,0,0,0,0,0,0,0,0
"4","0005af1ac22e4482fbd0c084",0,0,0,0,0,0,0,0,0,0
"5","0005c2a09fa901488aa6b39d",0,0,0,0,0,0,0,0,0,0
"6","00098520f29734c0615b0c30",0,0,0,0,0,0,0,1,0,0
"7","000bc081b4d8802812e9a721",0,0,0,0,0,0,0,0,0,0
"8","000d5676b60dd7e46c1855e8",0,0,0,0,0,0,0,0,0,0
"9","000e1fe0d3c938d1839f259a",0,0,0,0,0,0,0,1,0,0
"10","001026ad2e5c6541e8f9c6de",0,1,0,0,0,0,0,1,0,1
"11","001354b11e797cd5390058cd",0,0,0,0,0,0,0,0,0,0
"12","00191cd442b20b18367152e7",0,0,0,0,0,0,0,0,0,0
"13","001d2a71fde010f6f06505c3",0,0,0,0,0,0,0,1,0,0
"14","0024ac5164fb15a17e796b46",0,0,0,0,0,0,0,0,0,0
"15","0026f77cb4510996c863fd1a",0,0,0,0,0,0,0,0,0,0
"16","002791440611a4b455dcfe99",0,0,0,0,0,0,0,0,0,0
"17","00281110f839f610c38b1e1d",0,0,0,0,0,0,1,0,0,0
"18","0029285001c765588b0f56fa",0,0,0,0,0,0,0,0,0,0
"19","002bb643f48adb46d96ee2e1",0,0,0,0,0,0,0,0,0,0
"20","002c7d2b296ab65932f53626",0,0,0,0,0,0,0,0,0,0
"21","002cffa6e77747f167fe0006",0,0,0,0,0,0,0,0,0,0
"22","002e0274e2f6e789e0c70fdb",0,0,0,0,0,0,1,1,0,0
"23","003110c00fb27dcd192fe74a",0,0,0,0,0,0,0,0,0,0
"24","003130d7266fa784cf855de3",0,0,0,0,0,0,0,1,0,0
"25","0034fa9a46df72eddc5fd4e9",0,0,0,0,0,0,1,0,0,0
"26","0036470fb5d1b6be5ba35777",0,0,0,0,0,0,0,1,0,0
"27","0038b345ba2f2ba5a42d4e59",0,0,0,0,0,0,0,1,0,0
"28","0039eaf46ee7f3b9d9585d6a",0,0,0,1,0,0,0,1,0,0
"29","003a3f3765d222f47a733c1c",0,0,0,0,0,0,0,0,0,0
"30","003ac7e09ffe48386bad1ea5",0,0,0,0,0,0,0,1,0,0
"31","003bea02b5893d284635fe4f",0,0,0,0,0,0,0,0,0,0
