property_id,price
d56159653f5d2abc5ed5acd7,853900000
45550aa81c0151f1fd9fd8fe,757000000
735deef3382aa15930482f3e,766000000
0dd49fa8bb7be52b851c6dc9,1079000000
7d3220a91e78f8bc2924d1cd,805000000
d3054072b2175deec2c1f8dc,402000000
b7574b06d593fca4eac59815,401600000
79e822115c5c1a4531366001,497800000
d3ed5316a463d38c1bd321d0,990400000
2f1880c9b8f7ac2715e1236d,936000000
dcca1c7f109175760ff531c6,599600000
dfc4f3facf91bbd93ee0fa4d,410900000
30e134a6cbe61d7954d0f56b,380500000
385fee7bd9ad7722d45dd034,392000000
87199c236bf22903d1aafdd0,395300000
19e19ad0cd6b5e84d8aa970e,426800000
907f968e78d748fde69dd44f,532600000
be094e5db0f784e3aa013aae,489900000
7ab96f83915bc84f8c03c1bd,361100000
07f4aa9b9ff5b0b05d31e6c0,896500000
e9be8cd37abed8ab510ba1f5,915900000
5f6ad58df27b562db077b5ce,694400000
ee96d947484aaace40f9b77f,612800000
15c4aef8401208054697b81e,1034900000
22d6cb11333f2839b8112b89,1177600000
288c09c33907dadbae495c11,1414500000
f71d2bca0c5fe2720a1544c4,512900000
451744cf3ce55a98db8a3562,504900000
fba9ae05a6a8a9e0c6268a9f,433300000
1338e58f7dcebf5a1ea59388,402100000
a817e8da0ada143ac87277ee,401400000
46d8bb3e9a0ca584d3c7a317,541800000
b2506aa9463aebf01e1e00ca,392200000
7ec025b9b6e6f33bf65af41b,404000000
2ff531e27672ecd2362eed55,464400000
9b3cf0d1b91b9c6a2a887647,502500000
7db5291ce4602d9b2b266872,447300000
65d5918e826c33bb950fc008,636400000
395c34e4b8f52cbdb0522459,626000000
855f4b67d2bd6d18fd03d8e7,516000000
9ff06409b37e5b5dece4604a,587500000
0508cd7bd2c77ebb6fea1e56,479300000
b45fff2e718e54772d46a3fd,713200000
cf4d2297b73dbc357d21e31b,507900000
0ada7044c5b29925abc90879,575300000
6305f02255274ab5fb6bd39c,775500000
d9a94194ae1350512beff3e6,707600000
e3896296cb80d50d9ad3f903,833100000
6514f355887c64136edb5595,932200000
f03400cc18e12903b3ffbe5a,914500000
4e134600155a64783b3f8c3e,760000000
d63ebc63c82fbf66d8b6ffd3,902100000
1bd64811bd59706844230198,893400000
a83921284639eedd4a511cb6,594100000
a2f3f7a1cd573e2a33f52e2d,838300000
47344a66471fa51f61c64652,867000000
78fd849c9429091347d7e5c9,836000000
c3daf2abea55af99c9579319,693500000
52864916eb1984abca41ec66,975200000
c62494a9d7aede44f2f84023,1027500000
a2b576643f7a032371587e5e,1268600000
e53bc68f0e97ccead24f3e56,530500000
fd82c710aad91bc90af490fe,669700000
d436abc2ee37ba3dd561e940,1066000000
216a598114a403676011cb51,772200000
ea230d5eccd2b687888173bb,604400000
18bd0dd7580f2a7cb19a90b9,364700000
b143c8ca6d334f6a73c3f2a0,421900000
ab388cb4fa511968783bafee,398800000
6a4f08cd04d558a56af732d9,457200000
7216c895aa047c4f405c4941,618100000
a493488dcd906dc74cf8a604,673200000
7844b0b2bc65dced90a355c6,672000000
c1976383069b6b82ab29d092,471600000
e5cfd99e2308b7b73581dbdc,463600000
c18c2ea88f4ac53970b53d2c,573400000
842c9f0e4edf1e5a672ce15e,496300000
7dd1e46dcbddc6bf5ef694de,371600000
6cc4f32b39180bd1ec7e117b,680500000
79e643789a85dc4ffad49a25,695700000
b3402a9173d289d6db78e09d,1017200000
a446507813234e358db8b573,517300000
c8ef57ddfb35061d1876f94e,573400000
360be0df2c003005e3db080e,891200000
9ab245a4c91877cb7a8661ce,836100000
a57a34c7486e7a40e8deb316,797400000
ceba7d0f56f6cb03538962fb,651100000
d5475993f9db58c3e4baf7a3,930300000
d37a1dda09e30da13ff5bfc3,707100000
68a8b8d077a8232723bf37e9,694400000
e1eea7716ca6490b7640717a,698900000
4ae6d75b10848d259ecba576,692400000
17afbce5c0b56732abbea936,545200000
84a2673eccd3cf3bd7fd3eb0,975200000
f2f4e6cbafe527b155707f01,1149400000
de2e3a592cda5b76c9573c5c,1025700000
fac651cf404a58f24dc7d286,1552600000
e6f312a0877af26b69855a3d,1023400000
333a643c623a9bc75f3a40f2,1066500000
64593641e470908ef23b46cb,1336500000
ce9f2f0071be658ae75ca6f9,1222900000
9ab385e399a4673732b6a799,978600000
3429c774b736cefc051e2c55,489900000
a51ad0372758b2bbfe73f8fd,494000000
8c801a266256e3fbabe7e3d2,750800000
ca2f81b8fb6fda20aefb0ccb,681000000
3c1b1f86087f9b99380e387c,569100000
b0cad5d612954b8cab18101c,814600000
7eb991f4c69215377e4dac8f,818200000
0d130b8bea4321300396fa34,924400000
8dfa059401e1dca80ae65ae1,791800000
3e3f264cd0ac7a65ed2349a2,856100000
112dce80bf512f3f24391d23,573500000
ff25ded6333278149f8fb68f,854000000
d555b82c192794e87e9d536f,820800000
a787382d96ef9fce8f27bc70,1199200000
8c3aa295f7bcfd9a43eb2037,651900000
13ac95652fb3cf6c43dafc66,405800000
42fc6a80b882c32f6264ac10,413200000
1e9c53e09220d689a0210ab9,376100000
3348706086aa3db5c92259c3,446300000
66d402a9b7d05f29282ddb00,501600000
cf88be51d6f31c10e5868ff7,387500000
30b3f38716be209a894b0942,430300000
0a5908a92d0ba3e36f54b1f3,519000000
dd206b6ea2d7f6555109ea39,500800000
c641febd8bc2ece3e4d2d8b6,619600000
c11fdc02a288af0572a2bca1,838600000
35dc60a65969b264ab283d6d,530100000
d9cb0f637cd4feaaaf8a21c0,828000000
7e8dfae9a5f1faf8afa706f7,402900000
