property_id,price
d56159653f5d2abc5ed5acd7,1035100000
45550aa81c0151f1fd9fd8fe,1156500000
735deef3382aa15930482f3e,921200000
0dd49fa8bb7be52b851c6dc9,1018900000
7d3220a91e78f8bc2924d1cd,1055000000
d3054072b2175deec2c1f8dc,464100000
b7574b06d593fca4eac59815,460200000
79e822115c5c1a4531366001,575200000
d3ed5316a463d38c1bd321d0,867400000
2f1880c9b8f7ac2715e1236d,826300000
dcca1c7f109175760ff531c6,747800000
dfc4f3facf91bbd93ee0fa4d,577000000
30e134a6cbe61d7954d0f56b,666900000
385fee7bd9ad7722d45dd034,624500000
87199c236bf22903d1aafdd0,641300000
19e19ad0cd6b5e84d8aa970e,561700000
907f968e78d748fde69dd44f,736400000
be094e5db0f784e3aa013aae,528100000
7ab96f83915bc84f8c03c1bd,509000000
07f4aa9b9ff5b0b05d31e6c0,1017700000
e9be8cd37abed8ab510ba1f5,919100000
5f6ad58df27b562db077b5ce,689900000
ee96d947484aaace40f9b77f,923300000
15c4aef8401208054697b81e,1178500000
22d6cb11333f2839b8112b89,1113100000
288c09c33907dadbae495c11,1506900000
f71d2bca0c5fe2720a1544c4,512700000
451744cf3ce55a98db8a3562,516500000
fba9ae05a6a8a9e0c6268a9f,563400000
1338e58f7dcebf5a1ea59388,544500000
a817e8da0ada143ac87277ee,431900000
46d8bb3e9a0ca584d3c7a317,835400000
b2506aa9463aebf01e1e00ca,555500000
7ec025b9b6e6f33bf65af41b,575700000
2ff531e27672ecd2362eed55,594100000
9b3cf0d1b91b9c6a2a887647,634000000
7db5291ce4602d9b2b266872,588300000
65d5918e826c33bb950fc008,562000000
395c34e4b8f52cbdb0522459,660600000
855f4b67d2bd6d18fd03d8e7,633400000
9ff06409b37e5b5dece4604a,559100000
0508cd7bd2c77ebb6fea1e56,507900000
b45fff2e718e54772d46a3fd,815200000
cf4d2297b73dbc357d21e31b,466800000
0ada7044c5b29925abc90879,730900000
6305f02255274ab5fb6bd39c,713300000
d9a94194ae1350512beff3e6,960800000
e3896296cb80d50d9ad3f903,829600000
6514f355887c64136edb5595,1479500000
f03400cc18e12903b3ffbe5a,976800000
4e134600155a64783b3f8c3e,810800000
d63ebc63c82fbf66d8b6ffd3,1437500000
1bd64811bd59706844230198,865300000
a83921284639eedd4a511cb6,873200000
a2f3f7a1cd573e2a33f52e2d,999300000
47344a66471fa51f61c64652,983500000
78fd849c9429091347d7e5c9,1014900000
c3daf2abea55af99c9579319,1057900000
52864916eb1984abca41ec66,1061800000
c62494a9d7aede44f2f84023,1265900000
a2b576643f7a032371587e5e,938100000
e53bc68f0e97ccead24f3e56,731100000
fd82c710aad91bc90af490fe,896200000
d436abc2ee37ba3dd561e940,1088600000
216a598114a403676011cb51,851500000
ea230d5eccd2b687888173bb,762000000
18bd0dd7580f2a7cb19a90b9,531800000
b143c8ca6d334f6a73c3f2a0,614800000
ab388cb4fa511968783bafee,684000000
6a4f08cd04d558a56af732d9,509000000
7216c895aa047c4f405c4941,682900000
a493488dcd906dc74cf8a604,707300000
7844b0b2bc65dced90a355c6,628400000
c1976383069b6b82ab29d092,558700000
e5cfd99e2308b7b73581dbdc,665500000
c18c2ea88f4ac53970b53d2c,499900000
842c9f0e4edf1e5a672ce15e,829000000
7dd1e46dcbddc6bf5ef694de,605000000
6cc4f32b39180bd1ec7e117b,1066600000
79e643789a85dc4ffad49a25,868600000
b3402a9173d289d6db78e09d,1074000000
a446507813234e358db8b573,846600000
c8ef57ddfb35061d1876f94e,729000000
360be0df2c003005e3db080e,1244900000
9ab245a4c91877cb7a8661ce,1015500000
a57a34c7486e7a40e8deb316,922100000
ceba7d0f56f6cb03538962fb,738300000
d5475993f9db58c3e4baf7a3,956400000
d37a1dda09e30da13ff5bfc3,862900000
68a8b8d077a8232723bf37e9,705300000
e1eea7716ca6490b7640717a,829500000
4ae6d75b10848d259ecba576,715700000
17afbce5c0b56732abbea936,1167700000
84a2673eccd3cf3bd7fd3eb0,1064700000
f2f4e6cbafe527b155707f01,1076500000
de2e3a592cda5b76c9573c5c,1268400000
fac651cf404a58f24dc7d286,1600800000
e6f312a0877af26b69855a3d,1237000000
333a643c623a9bc75f3a40f2,2180600000
64593641e470908ef23b46cb,1174200000
ce9f2f0071be658ae75ca6f9,1268700000
9ab385e399a4673732b6a799,1076200000
3429c774b736cefc051e2c55,594300000
a51ad0372758b2bbfe73f8fd,846900000
8c801a266256e3fbabe7e3d2,921700000
ca2f81b8fb6fda20aefb0ccb,986100000
3c1b1f86087f9b99380e387c,1004400000
b0cad5d612954b8cab18101c,792100000
7eb991f4c69215377e4dac8f,958900000
0d130b8bea4321300396fa34,1292100000
8dfa059401e1dca80ae65ae1,928500000
3e3f264cd0ac7a65ed2349a2,763400000
112dce80bf512f3f24391d23,655000000
ff25ded6333278149f8fb68f,1034400000
d555b82c192794e87e9d536f,1085800000
a787382d96ef9fce8f27bc70,980200000
8c3aa295f7bcfd9a43eb2037,835400000
13ac95652fb3cf6c43dafc66,475500000
42fc6a80b882c32f6264ac10,564700000
1e9c53e09220d689a0210ab9,399000000
3348706086aa3db5c92259c3,555900000
66d402a9b7d05f29282ddb00,498600000
cf88be51d6f31c10e5868ff7,388300000
30b3f38716be209a894b0942,521100000
0a5908a92d0ba3e36f54b1f3,770000000
dd206b6ea2d7f6555109ea39,655500000
c641febd8bc2ece3e4d2d8b6,769600000
c11fdc02a288af0572a2bca1,839200000
35dc60a65969b264ab283d6d,841400000
d9cb0f637cd4feaaaf8a21c0,810700000
7e8dfae9a5f1faf8afa706f7,641000000
a280fe7610c254b935c9dcfc,454600000
85524880fdc4e4daf90e96fd,500300000
f361109d06f6609c16724b39,568800000
3f6b2f0c0876c21755369cb6,704800000
de26819064a290ce78d8fcc1,823600000
91be1260a84ab7fa3521c495,1081600000
18c8dc4549d38c918af2972e,1041200000
782b0fb8641849c2c34291e6,669200000
54933f8b33a4fd6f031ed5be,1014900000
953176c9a901b4f61c030432,762500000
357e2add3d68167a4f3ce15e,1255500000
